job_names,company_names,salaries,position_names,array_skills,locate_names,exp_skills,post_dates_formatted
Software Engineer,FPT Software,1000-2000,Software Engineer,"Java, Python, JavaScript",Hanoi,Develop software applications,2026-02-05 19:01:33
Data Scientist,VNG Corporation,1500-3000,Data Scientist,"Python, R, Machine Learning",Ho Chi Minh,Analyze data and build models,2026-02-05 19:01:33
DevOps Engineer,Shopee,1200-2500,DevOps Engineer,"AWS, Docker, Kubernetes",Hanoi,Ensure smooth operation of systems,2026-02-05 19:01:33
Product Manager,Tiki,2000-4000,Product Manager,"Product Development, Marketing",Ho Chi Minh,Develop and launch new products,2026-02-05 19:01:33
UX Designer,Grab,1000-2000,UX Designer,"User Experience, UI Design",Hanoi,Create user-friendly interfaces,2026-02-05 19:01:33
Backend Developer,Viettel,1500-3000,Backend Developer,"Java, Python, Node.js",Hanoi,Develop server-side applications,2026-02-05 19:01:33
Frontend Developer,Sendo,1200-2500,Frontend Developer,"JavaScript, React, Angular",Ho Chi Minh,Develop client-side applications,2026-02-05 19:01:33
Fullstack Developer,Lazada,2000-4000,Fullstack Developer,"JavaScript, Python, Ruby",Hanoi,Develop both server-side and client-side applications,2026-02-05 19:01:33
Cyber Security Engineer,FPT IS,1800-3500,Cyber Security Engineer,"Network Security, Cryptography",Ho Chi Minh,Protect computer systems and networks,2026-02-05 19:01:33
Artificial Intelligence Engineer,VinGroup,2500-5000,Artificial Intelligence Engineer,"Machine Learning, Deep Learning",Hanoi,Develop intelligent systems,2026-02-05 19:01:33
Cloud Engineer,Amazon,2000-4000,Cloud Engineer,"AWS, Azure, Google Cloud",Ho Chi Minh,Design and deploy cloud systems,2026-02-05 19:01:33
Database Administrator,Microsoft,1500-3000,Database Administrator,"MySQL, MongoDB, SQL Server",Hanoi,Manage and maintain databases,2026-02-05 19:01:33
Network Engineer,Cisco,1800-3500,Network Engineer,"Network Architecture, Routing",Ho Chi Minh,Design and implement computer networks,2026-02-05 19:01:33
IT Project Manager,IBM,2500-5000,IT Project Manager,"Project Management, Agile",Hanoi,Oversee IT projects,2026-02-05 19:01:33
Business Analyst,Accenture,1500-3000,Business Analyst,"Business Intelligence, Data Analysis",Ho Chi Minh,Analyze business needs and develop solutions,2026-02-05 19:01:33
Technical Writer,Google,1000-2000,Technical Writer,"Technical Writing, Documentation",Hanoi,Create user manuals and guides,2026-02-05 19:01:33
Quality Assurance Engineer,Samsung,1200-2500,Quality Assurance Engineer,"Testing, Quality Assurance",Ho Chi Minh,Ensure software quality,2026-02-05 19:01:33
DevOps Engineer,Palantir,2000-4000,DevOps Engineer,"AWS, Docker, Kubernetes",Hanoi,Ensure smooth operation of systems,2026-02-05 19:01:33
Data Analyst,Facebook,1500-3000,Data Analyst,"Data Analysis, Statistics",Ho Chi Minh,Analyze data and build reports,2026-02-05 19:01:33
Software Architect,Apple,2500-5000,Software Architect,"Software Design, Architecture",Hanoi,Design software systems,2026-02-05 19:01:33
IT Consultant,Deloitte,2000-4000,IT Consultant,"IT Consulting, Strategy",Ho Chi Minh,Provide IT consulting services,2026-02-05 19:01:33
